utc_datetime,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,updated_at,price_increase
2023-07-04 11:37:00,1970-01-01 00:28:08.470620,31047.99,31048.0,31026.56,31026.6,31.23629,1970-01-01 00:28:08.470679999,969574.177821,547,1.53189,47548.7706512,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:36:00,1970-01-01 00:28:08.470560,31050.86,31050.87,31045.38,31048.0,10.8146,1970-01-01 00:28:08.470619999,335768.6724959,448,3.96058,122960.3697172,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:35:00,1970-01-01 00:28:08.470500,31064.97,31064.98,31050.86,31050.86,11.51786,1970-01-01 00:28:08.470559999,357737.3592824,431,1.85411,57581.3035017,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:34:00,1970-01-01 00:28:08.470440,31073.99,31079.99,31064.96,31064.97,38.69732,1970-01-01 00:28:08.470499999,1202445.0801304,697,10.50396,326407.1674142,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:33:00,1970-01-01 00:28:08.470380,31069.98,31074.0,31065.62,31073.99,38.41698,1970-01-01 00:28:08.470439999,1193588.6395692,623,16.13162,501187.2161284,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:32:00,1970-01-01 00:28:08.470320,31038.01,31069.98,31038.0,31069.97,32.42409,1970-01-01 00:28:08.470379999,1007027.5052773,810,30.69823,953428.2656875,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:31:00,1970-01-01 00:28:08.470260,31048.05,31048.06,31038.0,31038.01,16.06253,1970-01-01 00:28:08.470319999,498588.1957325,472,4.82775,149845.7441632,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:30:00,1970-01-01 00:28:08.470200,31048.06,31059.21,31048.05,31048.06,31.93622,1970-01-01 00:28:08.470259999,991779.4112505,698,19.31541,599823.4905558,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:29:00,1970-01-01 00:28:08.470140,31048.05,31048.06,31048.05,31048.05,7.72229,1970-01-01 00:28:08.470199999,239762.1061491,290,6.01146,186644.1707676,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:28:00,1970-01-01 00:28:08.470080,31036.55,31048.06,31036.55,31048.06,9.85089,1970-01-01 00:28:08.470139999,305784.4944983,383,8.92885,277160.4666801,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:27:00,1970-01-01 00:28:08.470020,31037.34,31037.35,31036.55,31036.55,8.20171,1970-01-01 00:28:08.470079999,254555.3787948,463,3.25547,101038.6067391,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:26:00,1970-01-01 00:28:08.469960,31018.66,31037.35,31018.65,31037.34,26.39078,1970-01-01 00:28:08.470019999,818805.1369511,519,24.85901,771279.6670091,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:25:00,1970-01-01 00:28:08.469900,31022.0,31022.0,31018.65,31018.65,7.40019,1970-01-01 00:28:08.469959999,229559.5708686,262,1.54533,47934.5356622,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:24:00,1970-01-01 00:28:08.469840,31021.99,31022.0,31021.99,31021.99,4.1332,1970-01-01 00:28:08.469899999,128220.1231348,298,3.40668,105682.02696,0,2023-07-04 11:37:44.037541,0
2023-07-04 11:23:00,1970-01-01 00:28:08.469780,31010.33,31022.0,31010.32,31021.99,4.9309,1970-01-01 00:28:08.469839999,152946.6686516,426,2.8983,89897.6588634,0,2023-07-04 11:37:44.037541,1
2023-07-04 11:22:00,1970-01-01 00:28:08.469720,31004.85,31010.33,31004.84,31010.32,5.05509,1970-01-01 00:28:08.469779999,156751.0526595,477,3.74149,116018.0710754,0,2023-07-04 11:37:44.037541,1
